INFO  - 2013-07-04 21:10:00.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2013-07-04 21:10:00.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
INFO  - 2013-07-04 21:10:00.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/jempbox-1.7.1.jar' to classloader
INFO  - 2013-07-04 21:10:00.784; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2013-07-04 21:10:00.784; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/poi-scratchpad-3.8.jar' to classloader
INFO  - 2013-07-04 21:10:00.784; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2013-07-04 21:10:00.784; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2013-07-04 21:10:00.785; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2013-07-04 21:10:00.785; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2013-07-04 21:10:00.785; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2013-07-04 21:10:00.785; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2013-07-04 21:10:00.786; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2013-07-04 21:10:00.786; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/poi-ooxml-3.8.jar' to classloader
INFO  - 2013-07-04 21:10:00.786; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/icu4j-49.1.jar' to classloader
INFO  - 2013-07-04 21:10:00.786; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/poi-3.8.jar' to classloader
INFO  - 2013-07-04 21:10:00.788; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/dist/solr-cell-4.3.1.jar' to classloader
INFO  - 2013-07-04 21:10:00.789; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/clustering/lib/simple-xml-2.6.4.jar' to classloader
INFO  - 2013-07-04 21:10:00.790; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
INFO  - 2013-07-04 21:10:00.790; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2013-07-04 21:10:00.791; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/clustering/lib/carrot2-mini-3.6.2.jar' to classloader
INFO  - 2013-07-04 21:10:00.791; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2013-07-04 21:10:00.791; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/clustering/lib/hppc-0.4.1.jar' to classloader
INFO  - 2013-07-04 21:10:00.792; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/clustering/lib/attributes-binder-1.0.1.jar' to classloader
